DATA_EVENTO;TIPO_EVENTO;ÓBITOS;FERIDOS;ENFERMOS;DESABRIGADOS;DESALOJADOS;DESAPARECIDOS;RESIDENCIAS_DANIFICADAS;RESIDENCIAS_DESTRUIDAS;DANO_PATRIMONIO_PL
20/02/1993;Enxurradas;0;0;0;0;12;0;0;0;0
07/02/1994;Enxurradas;4;0;0;200;0;2;0;0;0
08/12/1994;Enxurradas;0;0;0;260;0;0;0;0;0
01/02/1995;Enxurradas;0;0;0;400;30;0;0;0;0
09/01/1996;Enxurradas;4;0;0;334;0;0;0;0;0
10/10/1998;Enxurradas;0;0;0;1500;700;0;0;0;0
06/02/1999;Enxurradas;0;8;0;1100;0;0;0;0;0
02/01/2000;Enxurradas;1;0;0;0;0;0;0;0;0
29/02/2000;Movimento de Massa;0;3;0;0;10;0;0;0;0
30/01/2001;Enxurradas;1;0;0;0;0;0;6;0;0
13/02/2002;Enxurradas;0;0;0;0;0;0;250;0;1
06/02/2003;Inundações;0;0;0;0;2;0;0;0;0
03/03/2003;Enxurradas;0;0;0;0;2;0;0;0;0
05/12/2004;Inundações;0;0;0;0;1;0;0;0;0
20/01/2005;Movimento de Massa;0;0;0;0;1;0;0;0;0
02/12/2005;Alagamentos;0;1;1;0;0;0;0;0;0
18/12/2005;Movimento de Massa;0;1;0;0;19;0;0;1;0
22/12/2005;Enxurradas;0;1;1;0;251;12;1;0;0
02/01/2006;Alagamentos;0;0;1;0;0;0;0;0;0
29/01/2006;Enxurradas;0;1;1;0;8;0;0;1;0
07/02/2006;Inundações;0;1;1;0;0;0;0;0;0
01/03/2006;Alagamentos;0;0;1;0;0;0;1;1;0
29/03/2006;Alagamentos;0;1;1;0;1;0;0;1;0
09/04/2006;Movimento de Massa;4;1;0;0;0;0;0;0;0
04/12/2006;Alagamentos;0;1;0;0;0;0;0;0;0
23/12/2006;Inundações;5;1;0;0;0;0;0;1;0
07/02/2007;Inundações;0;1;0;0;1;0;0;0;0
26/02/2007;Inundações;0;1;0;0;1;0;1;0;0
18/03/2007;Movimento de Massa;0;1;0;0;150;8;0;1;0
31/03/2007;Alagamentos;0;0;0;0;1;0;0;0;0
20/01/2008;Movimento de Massa;0;1;0;0;3;0;0;1;0
13/02/2008;Movimento de Massa;0;1;0;0;12;0;0;0;0
17/02/2008;Alagamentos;0;1;0;0;0;0;0;0;0
24/02/2008;Movimento de Massa;0;1;0;0;16;0;0;1;0
13/03/2008;Alagamentos;0;2;0;0;38;0;0;0;0
02/12/2008;Alagamentos;0;1;0;0;0;0;0;0;0
23/12/2008;Inundações;0;0;0;1;0;0;0;0;0
01/01/2009;Alagamentos;8;1;0;0;10;0;0;1;0
14/01/2009;Alagamentos;0;1;0;0;0;0;1;0;0
07/02/2009;Enxurradas;4;1;0;0;0;0;0;1;0
15/02/2009;Movimento de Massa;4;1;0;0;0;0;0;1;0
23/02/2009;Enxurradas;0;2;0;0;8;0;0;1;0
06/03/2009;Alagamentos;0;1;0;0;0;0;0;0;0
03/12/2009;Enxurradas;1;2;0;73;1500;0;0;0;0
08/12/2009;Movimento de Massa;0;1;0;167;1000;0;0;1;0
17/12/2009;Movimento de Massa;4;1;0;0;0;0;0;0;0
27/12/2009;Alagamentos;0;1;0;0;0;0;0;0;0
05/01/2010;Enxurradas;0;1;0;0;0;0;0;0;0
26/01/2010;Inundações;4;105;1271;584;7455;0;2097;815;14038
02/02/2010;Alagamentos;0;1;0;0;0;0;0;0;0
14/03/2010;Alagamentos;0;1;0;0;0;0;1;0;0
16/12/2010;Alagamentos;4;2;0;0;16;0;0;1;0
23/01/2011;Alagamentos;0;1;0;0;0;0;0;0;0
12/02/2012;Movimento de Massa;0;1;0;0;16;0;0;1;0
08/11/2012;Movimento de Massa;1;0;0;0;0;0;0;0;0
11/01/2013;Movimento de Massa;0;1;0;0;96;0;0;0;0
13/01/2013;Inundações;3;2;0;0;14;0;1;1;0
16/01/2013;Movimento de Massa;0;1;0;0;0;0;0;0;0
13/02/2013;Enxurradas;0;0;0;0;90;0;0;0;0
08/03/2013;Alagamentos;0;1;0;0;0;0;1;0;0
16/04/2018;Chuvas Intensas;0;0;0;0;2;0;0;2;2
26/04/2018;Chuvas Intensas;0;0;0;0;0;0;0;0;2
10/03/2019;Chuvas Intensas;5;0;142;0;12220;0;6050;0;0
20/02/2020;Chuvas Intensas;10;0;0;0;0;0;5000;0;0
02/02/2015;Inundações;4;16;0;1260;670;0;12;320;2
08/09/2015;Chuvas Intensas;0;0;0;0;468;0;0;2;5
22/12/2015;Chuvas Intensas;2;0;0;23;340;0;0;4;2
31/01/2025;Alagamentos;0;0;0;0;190;0;0;45;7
04/04/2025;Alagamentos;0;0;0;0;23;1;0;12;0
10/04/2025;Chuvas Intensas;0;2;0;0;15;0;0;5;1
18/04/2025;Inundações;7;5;0;2;65;0;0;41;3
18/02/2025;Alagamentos;0;0;0;0;120;0;0;65;2
